id,mac,rssi,timestamp
67e0282c-ab28-49b3-985f-eed7c069d21d,00:08:22:80:93:fb,-75,09-05-2023 19:46:54
8e4a16b3-a2d6-4d8a-9138-0859338b368a,00:08:22:80:93:fb,-75,09-05-2023 19:46:54
78184d8b-4948-4ac4-9aaf-cdc30eb53221,00:0c:e7:05:03:b2,-82,09-05-2023 12:09:17
a3be141d-ee28-4bfa-9a67-6fb3f797f20e,00:0c:e7:06:37:3c,-91,09-05-2023 11:19:46
c9713317-960e-4c4d-8c8c-4304c39073ef,00:0c:e7:06:87:be,-89,09-05-2023 14:38:36
91aabd37-9e08-437e-8507-35bf1b2310b7,00:0c:e7:0d:f6:0a,-89,09-05-2023 18:36:02
ef05f4a6-a979-44a7-ae06-1030e1b7fa17,00:0c:e7:0f:40:1a,-92,09-05-2023 20:49:31
60efa452-2f27-4826-87fb-fe969222eba0,00:0c:e7:11:f5:ec,-91,09-05-2023 14:16:11
15bc32a9-08e8-4943-8d81-ee797ab60d49,00:0c:e7:1a:6e:8c,-68,09-05-2023 11:25:53
c0abe2ba-5d41-4c54-b95b-b075fd2385a9,00:0c:e7:1a:6e:8c,-67,09-05-2023 11:25:53
9b84e9e9-cb37-468e-826d-f95e6679e3bf,00:0c:e7:1a:6e:8c,-70,09-05-2023 11:25:53
be720c6d-505a-4fe4-8469-541a353d332a,00:0c:e7:1b:1e:d3,-89,09-05-2023 19:29:45
9bf57d83-8189-4f9e-a2c5-422dd5d0572b,00:0c:e7:1c:74:ab,-91,09-05-2023 09:06:49
9abd8306-8fea-41c6-8e6f-045a85e6f996,00:0c:e7:1e:ba:dd,-89,09-05-2023 09:25:45
10d30baf-e68e-409b-a88a-582b9a2b0857,00:0c:e7:21:bb:45,-75,09-05-2023 13:36:58
48c02593-7a38-4fc0-b4a0-952308aa8d76,00:0c:e7:23:37:68,-90,09-05-2023 12:08:56
f4e9649c-2df7-4aa6-9486-b93154e2078b,00:0c:e7:23:37:68,-86,09-05-2023 12:08:56
b98d6acc-9c4b-47e2-bd8d-7abdb3fb011f,00:0c:e7:23:ed:b8,-81,09-05-2023 09:44:49
753cf799-6441-409a-b373-1228906ea7ce,00:0c:e7:23:ed:b8,-82,09-05-2023 09:44:49
cbe29a04-c658-4b78-9327-277dbd7337c0,00:0c:e7:25:ba:45,-87,09-05-2023 14:18:58
21c151ed-97d0-4e28-884c-2e34d025421d,00:0c:e7:26:d3:5c,-90,09-05-2023 17:04:06
d332d301-1522-4dd5-88e6-fbe4cbbabd88,00:0c:e7:2c:bc:f1,-78,09-05-2023 20:40:35
